"code" "name" "class"
"sz002031" "巨轮股份" "电力"
"sz002048" "宁波华翔" "电力"
"sz002085" "万丰奥威" "电力"
"sz002126" "银轮股份" "电力"
"sz002190" "成飞集成" "电力"
"sz002213" "特" "电力"
"sz002265" "西仪股份" "电力"
"sz002283" "天润曲轴" "电力"
"sz002284" "亚太股份" "电力"
"sz002355" "兴民钢圈" "电力"
"sz002363" "隆基机械" "电力"
"sz002406" "远东传动" "电力"
"sz002434" "万里扬" "电力"
"sz002454" "松芝股份" "电力"
"sz002488" "金固股份" "电力"
"sz002510" "天汽模" "电力"
"sz002536" "西泵股份" "电力"
"sz002555" "顺荣股份" "电力"
"sz002590" "万安科技" "电力"
"sz002594" "比亚迪" "电力"
"sz002602" "世纪华通" "电力"
"sz002607" "亚夏汽车" "电力"
"sz002625" "龙生股份" "电力"
"sz002662" "京威股份" "电力"
"sz002703" "浙江世宝" "电力"
"sz300100" "双林股份" "电力"
"sz300176" "鸿特精密" "电力"
"sz300258" "精锻科技" "电力"
"sz300304" "云意电气" "电力"
"sh600011" "华能国际" "汽车"
"sh600021" "上海电力" "汽车"
"sh600027" "华电国际" "汽车"
"sh600098" "广州发展" "汽车"
"sh600101" "明星电力" "汽车"
"sh600110" "中科英华" "汽车"
"sh600116" "三峡水利" "汽车"
"sh600131" "岷江水电" "汽车"
"sh600236" "桂冠电力" "汽车"
"sh600292" "中电远达" "汽车"
"sh600310" "桂东电力" "汽车"
"sh600396" "金山股份" "汽车"
"sh600452" "涪陵电力" "汽车"
"sh600505" "西昌电力" "汽车"
"sh600509" "天富能源" "汽车"
"sh600578" "京能电力" "汽车"
"sh600642" "申能股份" "汽车"
"sh600644" "乐山电力" "汽车"
"sh600674" "川投能源" "汽车"
"sh600726" "华电能源" "汽车"
"sh600744" "华银电力" "汽车"
"sh600769" "祥龙电业" "汽车"
"sh600780" "通宝能源" "汽车"
"sh600795" "国电电力" "汽车"
"sh600863" "内蒙华电" "汽车"
"sh600864" "哈投股份" "汽车"
"sh600868" "梅雁吉祥" "汽车"
"sh600869" "智慧能源" "汽车"
"sh600886" "国投电力" "汽车"
"sh600900" "长江电力" "汽车"
"sh600969" "郴电国际" "汽车"
"sh600979" "广安爱众" "汽车"
"sh600995" "文山电力" "汽车"
"sh601991" "大唐发电" "汽车"
"sz000027" "深圳能源" "汽车"
"sz000037" "深南电Ａ" "汽车"
"sz000531" "穗恒运Ａ" "汽车"
"sz000539" "粤电力Ａ" "汽车"
"sz000543" "皖能电力" "汽车"
"sz000600" "建投能源" "汽车"
"sz000601" "韶能股份" "汽车"
"sz000690" "宝新能源" "汽车"
"sz000720" "新能泰山" "汽车"
"sz000722" "湖南发展" "汽车"
"sz000767" "漳泽电力" "汽车"
"sz000791" "甘肃电投" "汽车"
"sz000875" "吉电股份" "汽车"
"sz000883" "湖北能源" "汽车"
"sz000899" "赣能股份" "汽车"
"sz000939" "凯迪电力" "汽车"
"sz000958" "东方能源" "汽车"
"sz000966" "长源电力" "汽车"
"sz000993" "闽东电力" "汽车"
"sz001896" "豫能控股" "汽车"
"sz002039" "黔源电力" "汽车"
"sz002479" "富春环保" "汽车"
"sz002692" "远程电缆" "汽车"
"sh600097" "开创国际" "农业"
"sh600108" "亚盛集团" "农业"
"sh600127" "金健米业" "农业"
"sh600189" "吉林森工" "农业"
"sh600195" "中牧股份" "农业"
